planet_name,mass,radius,orbital_period,semi_major_axis,eccentricity,star_teff,star_mass,star_radius,distance_pc,hz_inner_au,hz_outer_au,earth_sized,in_hz,habitability_label
HAT-P-23 b,2.09,1.368,1.212884,0.0232,0.106,5924.0,1.13,1.29,393.0,0.04003558820267192,0.09448398815830573,True,False,0
HAT-P-24 Ab,0.685,1.242,3.35524,0.0465,0.067,6373.0,1.191,1.317,405.0,0.03721494186609579,0.08782726280398605,True,True,1
HAT-P-25 b,0.567,1.19,3.652836,0.0466,0.032,5500.0,1.01,0.959,297.0,0.04312196809320517,0.10176784469996421,True,True,1
HAT-P-26 b,0.0585,0.57,4.234502,0.0479,0.124,5079.0,0.816,0.788,134.0,0.04669636237696957,0.11020341520964819,False,True,0
HAT-P-26 d,,0.1758,6.594,0.0643,,5079.0,0.816,0.788,134.0,0.04669636237696957,0.11020341520964819,False,True,0
HAT-P-27 Ab,0.66,1.055,3.0395803,0.0403,0.078,5300.0,0.945,0.898,204.0,0.04474921217219404,0.10560814072637793,True,False,0
HAT-P-27 Ac,,0.3863,1.1994,0.0217,,5300.0,0.945,0.898,204.0,0.04474921217219404,0.10560814072637793,False,False,0
HAT-P-28 b,0.626,1.212,3.257215,0.0434,0.051,5680.0,1.025,1.103,395.0,0.04175542685081487,0.09854280736792309,True,True,1
HAT-P-29 b,0.778,1.107,5.723186,0.0667,0.095,6087.0,1.207,1.224,322.0,0.038963500002074665,0.0919538600048962,True,True,1
HAT-P-2 b,8.74,0.951,5.6334729,0.0674,0.5171,6414.0,1.34,1.54,118.0,0.036977054024419774,0.08726584749763067,True,True,1
HAT-P-30 Ab,0.723,1.41,2.81060078,0.0412,0.035,6250.0,1.18,1.33,193.0,0.03794733192202055,0.08955570333596849,True,True,1
HAT-P-31 b,2.171,1.07,5.005425,0.055,0.245,6065.0,1.218,1.36,354.0,0.03910483503918029,0.09228741069246547,True,True,1
HAT-P-32 Ab,0.75,1.789,2.15000825,0.03427,0.044,6001.0,1.176,1.387,320.0,0.03952188377147616,0.09327164570068373,False,False,0
HAT-P-33 Ab,0.763,1.827,3.474474,0.0503,0.148,6401.0,1.403,1.777,419.0,0.03705215193135892,0.08744307855800704,False,True,0
HAT-P-34 b,3.64,1.142,5.4526482,0.0861,0.441,6509.0,1.36,1.45,257.0,0.036437367416289515,0.08599218710244325,True,False,0
HAT-P-35 Ab,1.054,1.332,3.646706,0.0498,0.025,6096.0,1.236,1.435,535.0,0.03890597514970939,0.09181810135331417,True,True,1
HAT-P-36 b,1.832,1.264,1.327347,0.0238,0.063,5580.0,1.022,1.096,317.0,0.042503731991510474,0.10030880749996471,True,False,0
HAT-P-37 b,1.169,1.178,2.797436,0.0379,0.058,5500.0,0.929,0.877,411.0,0.04312196809320517,0.10176784469996421,True,False,0
HAT-P-38 b,0.267,0.825,4.640382,0.0523,0.067,5330.0,0.886,0.923,249.0,0.04449734043388901,0.10501372342397808,True,True,1
HAT-P-39 Ab,0.599,1.571,3.54387,0.0509,,6430.0,1.404,1.625,642.0,0.03688504269247721,0.0870487007542462,False,True,0
HAT-P-3 Ab,0.591,0.827,2.899703,0.03866,0.0,5224.0,0.917,0.799,130.0,0.04540023440134541,0.10714455318717517,True,False,0
HAT-P-40 b,0.615,1.73,4.457243,0.0608,,6080.0,1.512,2.206,501.0,0.0390083592948402,0.09205972793582289,False,True,0
HAT-P-41 Ab,0.8,1.685,2.694047,0.0426,,6479.0,1.32,1.65,348.185,0.036606084968765,0.0863903605262854,False,True,0
HAT-P-42 b,0.975,1.277,4.641876,0.0575,0.0,5743.0,1.179,1.528,447.0,0.0412973749804333,0.09746180495382259,True,True,1
HAT-P-43 b,0.66,1.283,3.332688,0.0443,0.0,5645.0,1.048,1.104,543.0,0.04201431789417687,0.09915379023025742,True,True,1
HAT-P-44 Bb,0.392,1.28,4.301217,0.0507,0.072,5295.0,0.939,0.979,374.0,0.04479146827433965,0.10570786512744157,True,True,1
HAT-P-45 b,0.892,1.426,3.128992,0.0452,0.049,6330.0,1.259,1.319,305.0,0.037467744788724874,0.08842387770139071,True,True,1
HAT-P-46 b,0.493,1.284,4.463129,0.0577,0.123,6120.0,1.284,1.396,296.0,0.0387534026981419,0.09145803036761489,True,True,1
HAT-P-47 b,0.206,1.313,4.732182,0.0615,0.0,6703.0,1.387,1.515,268.0,0.03538278748510047,0.08350337846483712,True,True,1
HAT-P-48 b,0.168,1.131,4.40865,0.0543,0.0,5946.0,1.099,1.223,305.0,0.03988745787296139,0.09413440058018889,True,True,1
HAT-P-49 b,1.73,1.448,2.6915575,0.0412,0.0,6820.0,1.543,1.833,322.0,0.034775780720326756,0.08207084249997114,True,True,1
HAT-P-4 b,0.68,1.27,3.0565114,0.0446,0.0,5890.0,1.26,1.59,310.0,0.0402666934656415,0.09502939657891393,True,True,1
HAT-P-50 b,1.36,1.288,3.1220109,0.0453,0.115,6280.0,1.273,1.698,597.0,0.0377660548586988,0.08912788946652916,True,True,1
HAT-P-51 Ab,0.309,1.293,4.2180278,0.05069,0.123,5449.0,0.976,1.041,470.0,0.04352556882228454,0.10272034242059151,True,True,1
